PATH;AGE_0_2;AGE_2_8;AGE_9_14;AGE_15_24;AGE_25_34;AGE_35_44;AGE_45_54;AGE_55+;SHAPE_Column;SHAPE_Hour-glass;SHAPE_Pear;SHAPE_Apple;SHAPE_Full hour-glass;SHAPE_Full pear;OCCASION_Casual;OCCASION_Smart Office Attire;OCCASION_Tea-party / Summer party / Day-time occasion;OCCASION_Black tie;OCCASION_Smart-Casual / Creative;OCCASION_Beach;OCCASION_Sport;SEASON_summer;SEASON_autumn;SEASON_winter;SEASON_spring;PATTERN_yes
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_104.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_110.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_12.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_122.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_126.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_135.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_142.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_152.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_163.jpg;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_175.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_181.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_19.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_190.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_198.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_204.jpg;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_210.jpg;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_222.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_236.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_241.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_247.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_25.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_254.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_259.jpg;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_277.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_287.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_291.jpg;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_305.jpg;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0
D:\ELAN\Eniac\dataset\Jeans Man HM (Darina)\image_310.jpg;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0
